image_name,width,height,coord_x,coord_y,percent_x,percent_y
Ajovalot,1456,832,838,465,57.55,55.89
Anderssonit,1456,832,971,356,66.70,42.79
Avokadot,1344,896,773,396,57.52,44.20
Bazookat,832,1456,444,614,53.37,42.16
Bon-Bonit,1232,928,480,379,38.96,40.83
Bonnie ja Clyde,1456,832,748,367,51.37,44.11
Burritot,832,1456,428,662,51.44,45.47
Daisarit,1024,1024,482,477,47.07,46.58
Etuessu,832,1456,397,579,47.72,39.78
Etuvalot,832,1456,519,565,62.26,38.80
Hauskat laukut,1344,896,555,417,41.29,46.53
Hinkit,1456,832,1028,357,70.62,42.89
Ismo ja Seppo,928,1232,392,644,42.24,52.27
Iso-Deet,832,1456,347,676,41.71,46.41
Kannut,1024,1024,596,577,58.20,56.35
Kellukkeet,832,1456,420,656,50.48,45.05
Ketunnokat,832,1456,488,775,58.65,53.23
Keuhkot,1024,1024,498,565,48.63,55.27
Meijerit,1024,1024,509,492,49.71,48.05
Melonit,1024,1024,507,517,49.51,50.49
Michelin-manit,832,1456,398,623,47.84,42.79
Mikkelin Pimut,832,1456,369,716,44.35,49.18
Nuuskapussit,1456,832,810,538,55.62,64.66
Roiskeläpät,1024,1024,491,476,47.95,46.48
Sanni ja Alma,1456,832,555,499,38.15,59.98
Swingerit,1456,832,507,529,34.82,63.58
Tissit,832,1456,398,569,47.84,39.07
Tonkat,832,1456,394,658,47.36,45.21
Tuutit,1024,1024,495,624,48.34,60.94
Utareet,1024,1024,519,501,50.68,50.88
