name,coords,shape
Ajovalot.png,838,465,rect
Anderssonit.png,971,356,rect
Avokadot.png,773,396,rect
Bazookat.png,444,614,rect
Bon-Bonit.png,480,379,rect
Bonnie ja Clyde.png,748,367,rect
Burritos.png,597,550,rect
Burritot.png,428,662,rect
Daisarit.png,482,477,rect
Etuessu.png,397,579,rect
Etuvalot.png,519,565,rect
Hauskat laukut.png,555,417,rect
Hinkit.png,1028,357,rect
Ismo ja Seppo.png,392,644,rect
Iso-Deet.png,347,676,rect
Kannut.png,596,577,rect
Kellukkeet.png,420,656,rect
Ketunnokat.png,488,775,rect
Keuhkot.png,363,737,rect
Meijerit.png,509,492,rect
Melonit.png,507,517,rect
Michelin-manit.png,398,623,rect
Mikkelin Pimut.png,369,716,rect
Nuuskapussit.png,810,538,rect
Roiskeläpät.png,491,476,rect
Sanni ja Alma.png,555,499,rect
Swingerit.png,507,529,rect
Tissit.png,398,569,rect
Tonkat.png,394,658,rect
Tuutit.png,495,624,rect
Utareet.png,383,733,rect
