image_path,coord_x,coord_y
titpics/ajovalot.png,838,465
titpics/anderssonit.png,971,356
titpics/avokadot.png,773,396
titpics/bazookat.png,444,614
titpics/bon-bonit.png,480,379
titpics/burritos.png,597,550
titpics/burritot.png,428,662
titpics/daisarit.png,482,477
titpics/etuessu.png,397,579
titpics/etuvalot.png,519,565
titpics/hinkit.png,1028,357
titpics/iso-deet.png,347,676
titpics/kannut.png,596,577
titpics/kellukkeet.png,420,656
titpics/ketunnokat.png,488,775
titpics/keuhkot.png,363,737
titpics/manboobs.png,734,472
titpics/meijerit.png,509,492
titpics/melonit.png,507,517
titpics/michelin-manit.png,398,623
titpics/nuuskapussit.png,810,538
titpics/roiskeläpät.png,491,476
titpics/swingerit.png,507,529
titpics/tissit.png,398,569
titpics/tonkat.png,394,658
titpics/tuutit.png,495,624
titpics/utareet.png,383,733
